Item 1,Item 2,Item 3,Metric,Price
Whatachick'n Bites 4 Piece Kid's Meal with Lower Calorie Sides,Justaburger Kid's Meal with Lower Calorie Sides,Whatachick'n Strips 2 Piece Kid's Meal,6.84602,16.37
"Whataburger Patty Melt, Single Whatameal with Lower Calorie Sides",Pancake Platter with Bacon Whatameal,"Onion Rings, Large",6.84647,14.17
Biscuit and Jelly,Grilled Cheese Kid's Meal,"Whatachick'n Bites, 6 Piece Whatameal with Lower Calorie Sides",6.84978,13.17
Grilled Chicken Sandwich Whatameal with Lower Calorie Sides,Justaburger Kid's Meal,Pancake Platter with Bacon,6.85291,12.92
Honey Butter Chicken Biscuit,Large Onion Rings,Pancake Platter with Sausage,6.8541,8.47
Pancake Platter with Sausage,Grilled Cheese Kid's Meal with Lower Calorie Sides,Cinnamon Roll,6.85653,19.27
Large White Bun,Double Meat Whataburger,Honey BBQ Chicken Strip Sandwich,6.85714,11.82
Whatachick'n Sandwich,Large Onion Rings,Pancake Platter with Bacon Whatameal,6.85802,10.719999999999999
Pancake Platter with Sausage Whatameal,Jalapeno & Cheese Whataburger,Biscuit,6.86024,9.47
Honey BBQ Chicken Strip Sandwich Jr. Whatameal with Lower Calorie Sides,Hot Lemon Pie,Grilled Cheese Kid's Meal,6.86131,11.77
Jalapeno Cheddar Biscuit,Green Chile Double Jr. Whatameal,Kids Justaburger,6.86272,12.72
Biscuit,Honey Butter Chicken Biscuit Whatameal,Double Meat Whataburger Jr. Whatameal,6.86354,6.67
Medium Onion Rings,Jalapeno & Cheese Whataburger Whatameal with Lower Calorie Sides,Whatachick'n Bites 4 Piece Kid's Meal,6.86441,12.27
Large Onion Rings,Whatachick'n Strips 2 Piece Kid's Meal,Double Meat Whataburger Jr. Whatameal with Lower Calorie Sides,6.86467,9.67
Grilled Chicken Sandwich Whatameal,"French Fries, Small",Double Meat Whataburger Jr. Whatameal with Lower Calorie Sides,6.86837,11.27
Whataburger,Large White Bun,Chop House Cheddar Burger,6.86885,10.32
Whatachick'n Strips 2 Piece Kid's Meal,Whataburger Jr.,Honey Butter Chicken Biscuit Whatameal,6.86941,8.57
Whataburger Jr. Whatameal,Honey Butter Chicken Biscuit,Whataburger,6.86962,10.02
Double Meat Whataburger Jr. Whatameal with Lower Calorie Sides,Honey BBQ Chicken Strip Sandwich Whatameal with Lower Calorie Sides,Pancakes,6.87026,13.469999999999999
Jalapeno Cheddar Biscuit,Green Chile Double Jr. Whatameal,"Onion Rings, Medium",6.87109,11.620000000000001
Biscuit and Gravy Whatameal,Large Onion Rings,Grilled Cheese Kid's Meal with Lower Calorie Sides,6.87155,12.620000000000001
Double Meat Whataburger Jr.,Whataburger Jr. Whatameal,Grilled Cheese Kid's Meal with Lower Calorie Sides,6.87832,13.92
Jalapeno Cheddar Biscuit and Gravy,Pancake Platter with Sausage Whatameal,"Onion Rings, Large",6.87911,9.57
Pancake Platter with Sausage,"Whatachick'n Bites, 6 Piece Whatameal with Lower Calorie Sides","French Fries, Large",6.88056,12.57
Jalapeno Cheddar Biscuit and Gravy Whatameal,Whataburger Jr. Whatameal with Lower Calorie Sides,Whatachick'n Strips 2 Piece Kid's Meal,6.88102,10.92
