Item 1,Item 2,Item 3,Metric,Price
Hershey's Sundae Pie,Double Quarter Pound King Sandwich,Bacon & Cheese Whopper Sandwich,9.13315,11.370000000000001
"Garden Side Salad, No Dressing",Oreo Shake,Triple Whopper Sandwich with Cheese,9.14107,10.07
Bacon & Cheese Whopper Sandwich,Double Quarter Pound King Sandwich,Oatmeal Raisin Cookies,9.14655,11.68
BK Ultimate Breakfast Platter,Oreo Cookie Cheesecake,Value Menu Rodeo Crispy Chicken Jr.,9.16245,6.89
Dutch Apple Pie,Egg-Normous Burrito,Froot Loops Shake,9.16818,3.6799999999999997
Dutch Apple Pie,"Chicken Nuggets, 10 Piece",BK Ultimate Breakfast Platter,9.17083,9.370000000000001
Chocolate Chip Cookies,Rodeo King Sandwich,Value Menu Bacon Double Cheeseburger,9.17411,8.280000000000001
Double Quarter Pound King Sandwich,"Chicken Nuggets, 20 Piece",Hamburger,9.19432,10.48
Double Whopper Sandwich,Extra Long Cheeseburger,Grilled Chicken Sandwich,9.20187,10.870000000000001
Oreo Shake,Egg-Normous Burrito,Dutch Apple Pie,9.20233,4.37
"Chicken Nuggets, 10 Piece",Bacon Cheeseburger,Rodeo King Sandwich,9.20784,8.47
Hershey's Sundae Pie,Rodeo King Sandwich,"Club Salad with Grilled Chicken, No Dressing",9.21208,11.870000000000001
Bacon Double Cheeseburger,Value Menu Rodeo Burger,Rodeo King Sandwich,9.21661,7.28
Pancake and Sausage Platter,Bacon King Sandwich,Kids Hamburger,9.21755,8.68
Whopper Sandwich with Cheese,Extra Long Cheeseburger,Extra Long Cheeseburger,9.22079,9.37
Rodeo King Sandwich,Oatmeal Raisin Cookies,"Club Salad with Grilled Chicken, No Dressing",9.22549,12.18
Double Whopper Sandwich,"Garden Chicken Salad with Crispy Chicken, No Dressing",Original Chicken Sandwich,9.23161,15.57
"Chicken Nuggets, 10 Piece",Triple Whopper Sandwich with Cheese,Oreo Cookie Cheesecake,9.23475,10.379999999999999
Froot Loops Shake,"Hash Browns, Large",Fully Loaded Croissan'wich,9.23535,7.18
Double Hamburger,Double Whopper Sandwich with Cheese,Crispy Chicken Sandwich,9.25109,11.97
"Chicken Nuggets, 20 Piece",Bacon & Cheese Whopper Sandwich,Double Hamburger,9.25123,11.87
BBQ Bacon Whopper Sandwich,Whopper Sandwich,"Club Salad with Crispy Chicken, No Dressing",9.26026,9.18
White Chocolate Macadamia Nut Cookies,"Garden Chicken Salad with Crispy Chicken, No Dressing",Triple Whopper Sandwich with Cheese,9.26093,14.580000000000002
Chocolate Oreo Shake,"French Fries, Small (Salted)",Egg-Normous Burrito,9.26282,4.98
Fully Loaded Croissan'wich,"Hash Browns, Large",Oreo Shake,9.2695,7.869999999999999
NY Ultimate Platter,"French Fries, Large (Salted)","Hash Browns, Large",9.27653,9.17
Extra Long Cheeseburger,Single Quarter Pound King Sandwich,Bacon & Cheese Whopper Sandwich,9.28226,10.670000000000002
"Chicken Nuggets, 20 Piece","Garden Chicken Salad with Grilled Chicken, No Dressing",Bacon & Cheese Crispy Chicken Sandwich,9.29199,16.17
Triple Whopper Sandwich with Cheese,Grilled Chicken Sandwich,Whopper Jr. Sandwich,9.30698,12.67
Froot Loops Shake,NY Ultimate Platter,"French Toast Sticks, 5 Piece",9.31787,8.08
"French Fries, Medium (Salted)",Froot Loops Shake,NY Ultimate Platter,9.31969,8.08
Rodeo King Sandwich,"Garden Chicken Salad with Crispy Chicken, No Dressing",Whopper Jr. Sandwich,9.32945,12.37
Chicken Fries,Double Whopper Sandwich with Cheese,Whopper Sandwich with Cheese,9.35054,14.670000000000002
NY Ultimate Platter,"French Toast Sticks, 5 Piece",Oreo Shake,9.35202,8.77
Double Quarter Pound King Sandwich,Extra Long Cheeseburger,Grilled Chicken Sandwich,9.3531,10.07
