Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
"Triple Meat Italiano - 18"" Slice",197.7,17.0,50.0,19.0,3.0,4.0,940.0,45.0,430.0,8.0,0.0,0.7751937984496124,0.6976744186046512,1.0268800966475384,1.821705426356589,1.7674418604651163,15.49,1.8604651162790697
"Ultimate Cheese Lover's® - 18"" Slice",193.6,21.0,49.0,21.0,2.0,3.0,820.0,50.0,470.0,9.0,0.0,0.6950354609929078,0.7092198581560284,1.160541586073501,1.4539007092198584,1.7872340425531916,15.49,1.9148936170212765
"Veggie Lover's® - 18"" Slice",245.3,12.0,54.0,17.0,4.0,5.0,800.0,30.0,390.0,5.0,0.0,0.9230769230769231,0.5128205128205129,0.7992007992007992,1.7094017094017093,1.7435897435897436,15.49,1.282051282051282
Backyard BBQ Chicken - Big New Yorker Slice,164.9,10.0,55.0,17.0,8.0,3.0,630.0,30.0,380.0,4.5,0.0,0.9649122807017545,0.5263157894736842,0.683526999316473,1.3815789473684212,1.7894736842105263,15.49,1.1842105263157896
Buffalo Chicken - Big New Yorker Slice,165.2,9.0,52.0,16.0,2.0,3.0,890.0,30.0,350.0,4.0,0.0,0.9904761904761905,0.5714285714285715,0.6679035250463822,2.119047619047619,1.8285714285714285,16.49,1.1428571428571428
Cheese - Big New Yorker Slice,162.5,11.0,48.0,16.0,3.0,3.0,590.0,30.0,350.0,5.0,0.0,0.9142857142857144,0.5714285714285715,0.8163265306122449,1.4047619047619049,1.8285714285714285,11.99,1.4285714285714286
Chicken-Bacon Parmesan - Big New Yorker Slice,171.8,14.0,47.0,18.0,2.0,3.0,640.0,35.0,380.0,6.0,0.0,0.8245614035087719,0.6140350877192983,0.9569377990430621,1.4035087719298245,1.8947368421052633,16.99,1.5789473684210527
Garden Chicken - Big New Yorker Slice,87.5,7.0,7.0,9.0,2.0,2.0,370.0,30.0,120.0,3.5,0.0,0.3888888888888889,1.6666666666666667,1.5151515151515151,2.5694444444444446,3.0,16.49,2.9166666666666665
Garden Fresh - Big New Yorker Slice,83.5,6.0,7.0,6.0,2.0,2.0,310.0,20.0,110.0,3.5,0.0,0.4242424242424242,1.2121212121212122,1.4167650531286895,2.3484848484848486,2.1818181818181817,12.49,3.1818181818181817
Hawaiian Chicken - Big New Yorker Slice,184.4,9.0,50.0,17.0,3.0,3.0,710.0,30.0,350.0,4.0,0.0,0.9523809523809523,0.5714285714285715,0.6679035250463822,1.6904761904761905,1.9428571428571428,12.49,1.1428571428571428
Meat Lover's® - Big New Yorker Slice,190.3,21.0,48.0,20.0,2.0,3.0,960.0,50.0,460.0,8.0,0.0,0.6956521739130435,0.7246376811594203,1.1857707509881423,1.7391304347826086,1.7391304347826086,15.49,1.7391304347826086
Pepperoni - Big New Yorker Slice,158.9,13.0,47.0,15.0,2.0,3.0,630.0,30.0,370.0,6.0,0.0,0.846846846846847,0.5405405405405406,0.9126009126009127,1.4189189189189189,1.6216216216216217,15.49,1.6216216216216217
Pepperoni Lover's® - Big New Yorker Slice,179.6,18.0,48.0,19.0,2.0,4.0,840.0,50.0,440.0,8.0,0.0,0.7272727272727273,0.7575757575757576,1.062573789846517,1.590909090909091,1.7272727272727273,15.49,1.8181818181818181
Supreme - Big New Yorker Slice,188.3,15.0,49.0,16.0,3.0,4.0,730.0,35.0,390.0,6.0,0.0,0.8376068376068376,0.5982905982905983,0.999000999000999,1.5598290598290598,1.641025641025641,15.49,1.5384615384615385
Ultimate Cheese Lover's® - Big New Yorker Slice,157.9,14.0,47.0,17.0,1.0,3.0,620.0,35.0,380.0,6.0,0.0,0.8245614035087719,0.6140350877192983,0.9569377990430621,1.3596491228070176,1.7894736842105263,15.49,1.5789473684210527
Veggie Lover's® - Big New Yorker Slice,186.9,9.0,50.0,14.0,3.0,4.0,610.0,20.0,330.0,4.0,0.0,1.0101010101010102,0.4040404040404041,0.7083825265643447,1.5404040404040404,1.696969696969697,15.49,1.2121212121212122
American Chicken Club *Local Specialty* - Personal Pan Pizza® Slice,80.3,9.0,18.0,8.0,2.0,1.0,340.0,20.0,180.0,2.5,0.0,0.6666666666666667,0.7407407407407407,1.2987012987012987,1.5740740740740742,1.777777777777778,16.49,1.3888888888888888
Bacon Cheeseburger (w/ cheddar cheese) - Personal Pan Pizza® Slice,77.6,11.0,17.0,8.0,2.0,1.0,450.0,20.0,200.0,4.5,0.0,0.5666666666666668,0.6666666666666667,1.4285714285714286,1.875,1.6,12.49,2.25
Badger Special *Local Specialty* - Personal Pan Pizza® Slice,74.0,8.0,18.0,7.0,2.0,1.0,350.0,15.0,170.0,3.0,0.0,0.7058823529411765,0.5882352941176471,1.2223071046600458,1.7156862745098038,1.6470588235294117,16.49,1.7647058823529411
BBQ Beef - Personal Pan Pizza® Slice,71.9,7.0,19.0,7.0,3.0,1.0,340.0,15.0,160.0,2.5,0.0,0.7916666666666666,0.625,1.1363636363636362,1.7708333333333335,1.75,15.49,1.5625
BBQ Chicken *Local Specialty* - Personal Pan Pizza® Slice,80.6,5.0,25.0,8.0,8.0,1.0,380.0,20.0,180.0,2.0,0.0,0.925925925925926,0.7407407407407407,0.7215007215007214,1.7592592592592593,1.777777777777778,16.49,1.1111111111111112
BBQ Lover's *Local Specialty* - Personal Pan Pizza® Slice,77.6,8.0,25.0,7.0,8.0,1.0,410.0,15.0,200.0,3.0,0.0,0.8333333333333334,0.5,1.0389610389610389,1.7083333333333333,1.4000000000000001,4.79,1.5
Fiesta Taco (Beef) - Personal Pan Pizza® Slice,87.1,10.0,21.0,7.0,2.0,2.0,380.0,15.0,200.0,3.0,0.0,0.7,0.5,1.2987012987012987,1.5833333333333333,1.4000000000000001,15.49,1.5
Fiesta Taco (Chicken) - Personal Pan Pizza® Slice,88.2,7.0,21.0,8.0,2.0,2.0,340.0,15.0,180.0,2.0,0.0,0.7777777777777778,0.5555555555555556,1.0101010101010102,1.5740740740740742,1.777777777777778,16.49,1.1111111111111112
Garden Chicken *Local Specialty* - Personal Pan Pizza® Slice,80.4,6.0,18.0,8.0,2.0,1.0,330.0,15.0,160.0,2.0,0.0,0.75,0.625,0.974025974025974,1.71875,2.0,16.49,1.25
Garden Fresh *Local Specialty* - Personal Pan Pizza® Slice,82.7,6.0,18.0,6.0,2.0,2.0,290.0,10.0,150.0,2.0,0.0,0.8,0.4444444444444445,1.0389610389610389,1.6111111111111112,1.6,15.49,1.3333333333333335
