Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Footlong Corned Beef Reuben,656,30.0,104,78,26,14,3440,170,980,10.0,1.0,6.00,0.7074829931972789,1.1564625850340136,3.183673469387755,0.795123244102836,2.925170068027211,1.0204081632653061
Footlong Crunchy Chicken Enchilada,606,52.0,120,52,20,14,2240,40,1160,14.0,1.0,4.75,0.6896551724137931,0.22988505747126436,1.793103448275862,1.1643528884908194,1.6091954022988506,1.206896551724138
Footlong Cubano,614,28.0,96,64,18,10,2860,140,920,9.0,0.0,5.50,0.6956521739130435,1.0144927536231885,2.782608695652174,0.7905138339920948,2.5905797101449277,0.9782608695652175
Footlong Egg Salad,494,52.0,90,34,14,10,900,510,960,10.0,0.0,5.50,0.625,3.541666666666667,1.4166666666666665,1.406926406926407,0.78125,1.0416666666666665
Footlong Falafel,552,48.0,146,36,16,26,2100,20,1160,8.0,1.0,5.50,0.839080459770115,0.11494252873563218,1.2413793103448276,1.0747872816838333,1.5086206896551724,0.6896551724137931
Footlong Italian Hero,532,58.0,94,52,18,10,2940,150,1100,18.0,1.0,6.00,0.5696969696969697,0.9090909090909091,1.8909090909090909,1.369539551357733,2.2272727272727275,1.6363636363636365
Footlong Italian Hero Supreme,604,54.0,108,58,28,10,3320,180,1140,22.0,1.0,6.00,0.6315789473684211,1.0526315789473684,2.0350877192982457,1.2303485987696514,2.426900584795322,1.9298245614035088
Footlong Malibu Garden Vegan Patty,494,20.0,128,26,16,18,1560,0,760,4.0,0.0,6.00,1.1228070175438596,0.0,1.368421052631579,0.683526999316473,1.710526315789474,0.5263157894736842
Footlong Mediterranean Chicken,566,40.0,92,60,14,10,1860,140,980,12.0,0.0,6.00,0.6258503401360545,0.9523809523809523,2.4489795918367347,1.0601643254704478,1.5816326530612246,1.2244897959183674
Footlong Mediterranean Steak,566,44.0,98,58,18,10,2540,120,1040,14.0,1.0,6.00,0.6282051282051282,0.7692307692307693,2.230769230769231,1.098901098901099,2.0352564102564106,1.3461538461538463
Footlong Orchard Chicken Salad,494,16.0,108,40,30,12,1060,80,740,3.0,0.0,7.50,0.972972972972973,0.7207207207207208,2.1621621621621623,0.5616005616005616,1.1936936936936937,0.40540540540540543
Footlong Pastrami,460,34.0,92,40,16,10,1960,100,840,14.0,0.0,5.50,0.7301587301587302,0.7936507936507936,1.9047619047619047,1.0513296227581943,1.9444444444444446,1.6666666666666667
"Footlong Pastrami Melt, Big Hot",574,56.0,94,58,16,10,2940,170,1160,22.0,0.0,5.50,0.5402298850574713,0.9770114942528735,2.0,1.2539184952978055,2.1120689655172415,1.896551724137931
Footlong Pepperoni,396,34.0,90,32,16,10,2160,60,780,12.0,1.0,5.50,0.7692307692307693,0.5128205128205129,1.641025641025641,1.132201132201132,2.307692307692308,1.5384615384615385
Footlong Pizza Sub Melt,390,48.0,98,40,18,10,3280,110,980,20.0,1.0,6.00,0.6666666666666667,0.7482993197278912,1.6326530612244896,1.2721971905645375,2.789115646258504,2.0408163265306123
Footlong Sea Salt & Pepper Fish,572,38.0,148,42,16,14,2260,80,1200,9.0,0.0,1.50,0.8222222222222223,0.4444444444444445,1.4000000000000001,0.8225108225108225,1.5694444444444444,0.75
Footlong Subway Melt,492,26.0,96,52,18,10,2820,80,820,10.0,1.0,6.00,0.7804878048780488,0.6504065040650407,2.5365853658536586,0.8235666772252138,2.8658536585365852,1.2195121951219512
Footlong Subway Seafood SensationTM,466,38.0,102,26,16,10,1560,30,840,6.0,0.0,6.00,0.8095238095238095,0.23809523809523808,1.2380952380952381,1.1750154607297465,1.5476190476190477,0.7142857142857143
Footlong Turkey & Bacon,468,18.0,94,46,16,10,2380,60,720,6.0,0.0,7.50,0.8703703703703705,0.5555555555555556,2.5555555555555554,0.6493506493506493,2.7546296296296298,0.8333333333333334
Footlong Turkey & Bacon Avocado,540,28.0,100,48,16,14,2380,60,840,7.0,0.0,7.50,0.7936507936507936,0.47619047619047616,2.2857142857142856,0.8658008658008658,2.361111111111111,0.8333333333333334
Footlong Turkey & Bacon Guacamole,540,30.0,100,48,16,14,2560,60,880,8.0,0.0,7.50,0.7575757575757576,0.45454545454545453,2.1818181818181817,0.8854781582054309,2.4242424242424243,0.9090909090909091
Footlong Turkey Breast & Black Forest Ham,438,8.0,92,36,16,10,1560,40,560,2.0,0.0,6.00,1.0952380952380953,0.47619047619047616,2.571428571428571,0.37105751391465674,2.3214285714285716,0.35714285714285715
Footlong Turkey Italiano Melt,504,46.0,96,44,18,10,3120,100,960,16.0,1.0,4.25,0.6666666666666667,0.6944444444444445,1.8333333333333333,1.2445887445887447,2.7083333333333335,1.6666666666666667
Footlong Veggie Patty,494,20.0,104,42,18,16,1600,0,780,6.0,0.0,6.00,0.888888888888889,0.0,2.153846153846154,0.666000666000666,1.7094017094017093,0.7692307692307693
Black Forest Ham Salad,344,3.0,13,12,8,4,600,25,110,1.0,0.0,6.00,0.7878787878787878,1.5151515151515151,4.363636363636363,0.7083825265643447,4.545454545454545,0.9090909090909091
Oven Roasted Chicken Salad,358,3.5,13,17,7,4,410,45,150,1.0,0.0,6.00,0.5777777777777778,2.0,4.533333333333333,0.6060606060606061,2.277777777777778,0.6666666666666667
Roast Beef Salad,358,3.5,12,19,7,4,460,45,140,1.0,0.0,6.00,0.5714285714285715,2.1428571428571432,5.428571428571428,0.6493506493506493,2.738095238095238,0.7142857142857143
Rotisserie-Style Chicken Salad,372,4.5,12,23,6,4,460,55,170,1.0,0.0,2.50,0.47058823529411764,2.1568627450980395,5.411764705882352,0.6875477463712758,2.254901960784314,0.5882352941176471
Subway Club Salad,365,3.0,13,18,7,4,640,40,140,1.0,0.0,6.00,0.6190476190476191,1.9047619047619047,5.142857142857142,0.5565862708719852,3.8095238095238093,0.7142857142857143
Sweet Onion Chicken Teriyaki Salad,415,3.0,34,19,23,4,650,50,230,1.0,0.0,6.00,0.9855072463768116,1.4492753623188406,3.304347826086956,0.3387916431394692,2.355072463768116,0.43478260869565216
Turkey Breast Salad,344,2.0,13,12,7,4,560,20,110,0.5,0.0,6.00,0.7878787878787878,1.2121212121212122,4.363636363636363,0.47225501770956313,4.242424242424242,0.45454545454545453
Veggie Delite Salad,287,1.0,11,3,6,4,80,0,60,0.0,0.0,5.00,1.222222222222222,0.0,2.0,0.4329004329004329,1.1111111111111112,0.0
Chicken & Bacon Ranch Melt Salad,445,40.0,15,32,9,4,1290,100,540,12.0,1.0,6.00,0.18518518518518517,1.2345679012345678,2.3703703703703702,1.924001924001924,1.9907407407407407,2.2222222222222223
