Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Veggie Delite Salad,287g,1g,11g,3g,6g,4g,80mg,0mg,60,0g,0g
Chicken & Bacon Ranch Melt Salad,445g,40g,15g,32g,9g,4g,1290mg,100mg,540,12g,1g
Cold Cut Combo Salad,351g,10g,13g,12g,7g,4g,830mg,45mg,180,4g,0g
Italian B.M.T. Salad,351g,15g,13g,14g,8g,4g,1060mg,45mg,230,6g,0g
Meatball Marinara Salad,426g,17g,27g,15g,12g,6g,790mg,40mg,310,7g,1g
Spicy Italian Salad,347g,23g,13g,14g,8g,4g,1290mg,50mg,310,9g,0.5g
Steak & Cheese Salad,370g,8g,16g,20g,8g,4g,830mg,50mg,210,4g,0g
Tuna Salad,362g,24g,11g,15g,6g,4g,380mg,40mg,310,4g,0g
"6"" Bacon, Egg & Cheese",190g,18g,44g,25g,6g,4g,1310mg,180mg,450,7g,0g
"6"" Bacon, Egg & Cheese Flatbread",198g,21g,43g,25g,3g,4g,1370mg,180mg,460,7g,0g
"6"" Bacon, Egg White & Cheese",190g,13g,45g,26g,6g,4g,1340mg,20mg,410,4g,0g
