Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
American Chicken Club *Local Specialty* - Medium Original Pan™ Slice,124.8g,15g,29g,11g,2g,2g,490mg,30mg,300,5g,0g
Badger Special *Local Specialty* - Medium Original Pan™ Slice,113.8g,12g,28g,11g,1g,2g,490mg,25mg,270,5g,0g
BBQ Beef - Medium Original Pan™ Slice,118.1g,12g,31g,12g,4g,2g,540mg,25mg,280,4.5g,0g
BBQ Chicken *Local Specialty* - Medium Original Pan™ Slice,111.1g,9g,33g,12g,6g,2g,470mg,30mg,260,3.5g,0g
BBQ Lover's *Local Specialty* - Medium Original Pan™ Slice,108.5g,12g,33g,11g,6g,2g,530mg,25mg,290,4.5g,0g
BLT *Local Specialty* - Medium Original Pan™ Slice,115.2g,15g,27g,10g,1g,2g,440mg,25mg,290,4.5g,0g
Fiesta Taco (Beef) - Medium Original Pan™ Slice,141.3g,14g,35g,11g,2g,4g,560mg,20mg,310,4.5g,0g
Fiesta Taco (Chicken) - Medium Original Pan™ Slice,142.3g,12g,35g,11g,2g,4g,510mg,20mg,290,3.5g,0g
Garden Chicken *Local Specialty* - Medium Original Pan™ Slice,118g,9g,29g,11g,1g,2g,440mg,20mg,240,3.5g,0g
Garden Fresh *Local Specialty* - Medium Original Pan™ Slice,129.1g,9g,29g,9g,2g,2g,400mg,15mg,240,3.5g,0g
Hawaiian *Local Specialty* - Medium Original Pan™ Slice,113.7g,9g,30g,10g,3g,2g,500mg,20mg,240,3.5g,0g
Hawaiian Luau - Medium Original Pan™ Slice,108.5g,10g,29g,10g,2g,2g,480mg,20mg,240,3.5g,0g
Ohio's Best *Local Specialty* - Medium Original Pan™ Slice,133.2g,14g,29g,11g,2g,2g,540mg,25mg,280,5g,0g
Super Supreme - Medium Original Pan™ Slice,139.4g,16g,29g,13g,2g,2g,670mg,35mg,310,6g,0g
Taco Pizza *Local Specialty* - Medium Original Pan™ Slice,146.7g,14g,32g,13g,2g,4g,560mg,30mg,310,6g,0g
American Chicken Club *Local Specialty* - Medium Hand Tossed Slice,113.7g,12g,26g,10g,2g,2g,430mg,25mg,260,4g,0g
Badger Special *Local Specialty* - Medium Hand Tossed Slice,102.5g,9g,26g,10g,1g,2g,420mg,25mg,230,4.5g,0g
BBQ Beef - Medium Hand Tossed Slice,107.5g,9g,29g,11g,4g,2g,480mg,25mg,240,4g,0g
BBQ Chicken *Local Specialty* - Medium Hand Tossed Slice,99.4g,6g,30g,11g,6g,2g,400mg,25mg,220,2.5g,0g
BBQ Lover's *Local Specialty* - Medium Hand Tossed Slice,97.1g,9g,30g,10g,6g,2g,470mg,25mg,240,4g,0g
BLT *Local Specialty* - Medium Hand Tossed Slice,104.1g,12g,25g,9g,1g,2g,380mg,25mg,250,4g,0g
Fiesta Taco (Beef) - Medium Hand Tossed Slice,131.7g,12g,33g,10g,2g,3g,500mg,20mg,280,4g,0g
Fiesta Taco (Chicken) - Medium Hand Tossed Slice,132.8g,9g,33g,11g,2g,3g,450mg,20mg,250,3g,0g
Garden Chicken *Local Specialty* - Medium Hand Tossed Slice,106.8g,6g,26g,10g,1g,2g,380mg,20mg,200,3g,0g
Garden Fresh *Local Specialty* - Medium Hand Tossed Slice,118g,6g,27g,8g,2g,2g,340mg,15mg,190,2.5g,0g
Hawaiian *Local Specialty* - Medium Hand Tossed Slice,103.5g,5g,27g,9g,3g,2g,450mg,15mg,190,2.5g,0g
Hawaiian Luau - Medium Hand Tossed Slice,98.6g,7g,27g,9g,2g,2g,420mg,20mg,210,3g,0g
